hip,ra,dec,mag,spect,con,proper,dist,bayer
5571,1.190894,21.03465,4.66,K0III,Psc,,117.6471,Chi
5575,1.191381,10.291908,6.49,G5,Psc,,132.4503,
5586,1.194342,30.089638,4.51,K0III-IV...,Psc,,51.7598,Tau
5589,1.194829,65.018854,5.57,B9IV,Cas,,119.0476,
5594,1.195419,-2.251079,5.93,K4III,Cet,,171.8213,
5626,1.204601,79.673963,5.6,A3V,Cep,,82.85,
5650,1.209465,45.337531,6.13,M1III,And,,193.7984,
5661,1.212616,-37.856479,5.95,A9IV: (+F/G),Scl,,69.3963,
5679,1.21652,30.064229,6.24,G1V...,Psc,,116.0093,
5688,1.219398,61.706188,6.4,B9V,Cas,,201.6129,
5737,1.228857,7.575354,5.21,A7IV,Psc,Revati,53.3049,Zet
5742,1.229152,24.583713,4.67,K0III...,Psc,,136.7989,Phi
5743,1.22924,7.578261,6.44,F7V,Psc,Revati B,93.985,Zet
5772,1.234695,28.529575,6.33,M2S SB,Psc,,408.1633,
5778,1.235453,16.133479,5.97,B8III,Psc,,139.47,
5799,1.240011,-7.922826,5.14,F5V,Cet,,23.3863,
5824,1.245109,6.995136,6.04,G6III:,Psc,,159.2357,
5833,1.246992,-0.973795,5.7,F5V,Cet,,42.9185,
5862,1.253043,-45.531664,4.97,F8V,Phe,,15.1149,Nu
5896,1.262704,-68.875927,4.25,F6IV,Tuc,,20.9556,Kap
5926,1.269972,71.743842,5.87,K1V,Cas,,847.4576,
5928,1.270176,87.145496,6.2,K2III:,Cep,,106.9519,
5936,1.271922,33.11472,6.04,K1III,Psc,,106.7236,
5947,1.275281,79.910013,6.27,F5Vs,Cep,,72.6216,
5951,1.276747,-2.500368,5.42,G5III-IVe,Cet,,80.5802,
5992,1.284364,-66.397854,6.23,A0V,Tuc,,94.2507,
5993,1.284739,44.901992,6.11,K5,And,,214.1328,
6025,1.290033,31.744617,6.36,K0,Psc,,85.1064,
6061,1.296654,3.614466,5.13,A3V,Psc,,75.3012,
6087,1.302818,47.419706,6.29,K0,And,,662.2517,
6093,1.303858,57.803166,6.39,M5,Cas,,348.4321,
6140,1.313058,37.386275,6.44,A5m,And,,128.5347,
6193,1.324443,27.264059,4.74,A3V,Psc,,94.4287,Ups
6226,1.330082,-0.509029,5.87,A7V...,Cet,,100.7049,
6242,1.334699,58.231611,4.95,F0Ia,Cas,,100000.0,Phi
6261,1.338733,77.570682,6.31,G5III...,Cas,,126.4223,
6272,1.341058,-11.238999,6.16,K1III,Cet,,112.2334,
6283,1.342937,-3.24699,6.26,K1III,Cet,,137.1742,
6312,1.35145,64.658131,6.33,A2Vnn,Cas,,78.125,
6315,1.352047,28.738207,5.23,K5III,Psc,,107.4114,
